"canonical_entity","mention_count","mention_rate","average_ranking_position","rank_variance","top1_rate","mention_prominence","frequency_across_runs","stability_score","consistency_label","avg_description_length","model_presence_count","cross_model_rate","prompt_type_response","co_mention_rate"
"le relais","8","0.0205","3.375","1.2183","0.125","0.625","5","0.0092","unstable","92.0","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0299, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0448, ""avis_touristes"": 0.0328}","{""le bistrot"": 0.25, ""la grotte"": 0.125, ""la kasbah"": 0.25, ""la maison de la médina"": 0.125, ""dar el jeld"": 0.5, ""la maison blanche"": 0.25, ""la terrasse"": 0.25, ""le pirate"": 0.25, ""le restaurant de la plage"": 0.25, ""le café des nattes"": 0.25, ""le restaurant de la medina"": 0.125, ""le grand restaurant"": 0.25, ""dar el jem"": 0.125, ""la maison arabe"": 0.25, ""dar el medina"": 0.125, ""le bistrot de la médina"": 0.125, ""la medina"": 0.125, ""le petit châtelet"": 0.125, ""la maison"": 0.125, ""la mer"": 0.125, ""le grand vefour"": 0.125, ""le jardin"": 0.125, ""le clos"": 0.125}"
"dar el fell","9","0.023","4.5","1.5","0.1111","0.1111","5","0.0092","unstable","60.6","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0746, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0164}","{""la maison arabe"": 0.2222, ""le petit château"": 0.2222, ""el fell"": 0.1111, ""café des nattes"": 0.5556, ""la villa bleue"": 0.5556, ""dar zarrouk"": 0.5556, ""le golfe"": 0.1111, ""le pirate"": 0.5556, ""la maison de la méditerranée"": 0.2222, ""café sidi chabaane"": 0.4444, ""le grand bleu"": 0.1111, ""la maison blanche"": 0.2222, ""le bosphore"": 0.1111, ""la kasbah"": 0.1111, ""el mouradi"": 0.1111, ""le poisson d'or"": 0.1111, ""le café des nattes"": 0.1111, ""la medina"": 0.1111, ""le calife"": 0.1111, ""la maison de la medina"": 0.1111, ""le petit prince"": 0.1111, ""la terrasse"": 0.1111}"
"el ksar","7","0.0179","2.8333","1.0672","0.0","0.7143","4","0.0087","unstable","282.9","2","0.6667","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0328}","{""el khayam"": 0.1429, ""la medina"": 0.2857, ""le central"": 0.1429, ""chez ali"": 0.1429, ""dar el jeld"": 0.4286, ""le jardin"": 0.1429, ""la rotonde"": 0.1429, ""la badira"": 0.1429, ""la kasbah"": 0.1429, ""le bistrot du port"": 0.1429, ""le jardin de la medina"": 0.1429, ""le jardin de carthage"": 0.1429, ""la maison de la mer"": 0.1429, ""la terrasse"": 0.1429, ""le grand vefour"": 0.1429}"
"el farouk","8","0.0205","3.0","1.4142","0.125","0.75","5","0.0085","unstable","56.8","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0149, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.0492}","{""la maison blanche"": 0.25, ""la medina"": 0.25, ""dar el jeld"": 0.5, ""le cafe des nattes"": 0.125, ""la kasbah"": 0.5, ""la maison arabe"": 0.375, ""le pirate"": 0.25, ""la villa"": 0.125, ""le baron"": 0.125, ""el hana"": 0.125, ""le grand hotel sousse"": 0.125, ""dar el jem"": 0.125, ""la casa"": 0.125, ""la grotte"": 0.125, ""le corsaire"": 0.125, ""le golfe"": 0.125, ""le petit châtelet"": 0.125, ""la maison de la mer"": 0.125, ""la villa bleue"": 0.125}"
"le grand bleu","10","0.0256","2.4","2.245","0.6","0.8","5","0.0079","unstable","78.0","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0448, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""le petit château"": 0.1, ""la maison arabe"": 0.6, ""dar el jeld"": 0.3, ""restaurant de la médina"": 0.1, ""le restaurant de la medina"": 0.1, ""le calife"": 0.1, ""la villa bleue"": 0.3, ""le café des nattes"": 0.1, ""le bistrot de la marsa"": 0.1, ""le café de la plage"": 0.1, ""le restaurant le corail"": 0.1, ""la maison de la méditerranée"": 0.2, ""café des nattes"": 0.1, ""dar el fell"": 0.1, ""dar zarrouk"": 0.1, ""café sidi chabaane"": 0.1, ""le pirate"": 0.2, ""le bistrot"": 0.1, ""le restaurant de l'hôtel hasdrubal"": 0.2, ""le calypso"": 0.3, ""la table de la méditerranée"": 0.1, ""la maison de la medina"": 0.1}"
"el menzah","3","0.0077","4.0","0.0","0.0","0.0","2","0.0077","unstable","68.0","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""dar el jeld"": 1.0, ""le grand vefour"": 1.0, ""le café des nattes"": 0.3333, ""la maison arabe"": 0.6667, ""le café de paris"": 0.3333, ""le restaurant de la medina"": 0.3333}"
"le cafe des nattes","3","0.0077","4.0","0.0","0.0","0.0","3","0.0077","unstable","0.0","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0448, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""la medina"": 0.3333, ""la kasbah"": 0.6667, ""la maison arabe"": 0.3333, ""dar el jeld"": 1.0, ""el farouk"": 0.3333, ""le pirate"": 0.3333, ""la maison de la medina"": 0.3333, ""dar slah"": 0.3333, ""dar zarrouk"": 0.3333}"
"la médina","3","0.0077","2.0","0.0","0.0","1.0","3","0.0077","unstable","59.3","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""la kasbah"": 0.3333, ""le pirate"": 0.3333, ""le petit châtelet"": 0.3333, ""le calypso"": 0.3333, ""la grotte"": 0.3333, ""dar el jeld"": 0.3333, ""le jardin de la médina"": 0.3333, ""le bistrot du port"": 0.3333}"
"restaurant el mouradi","9","0.023","4.75","1.9843","0.1111","0.1111","3","0.0077","unstable","453.0","2","0.6667","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0423, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""le rendez-vous"": 0.1111, ""le bistrot de la mer"": 0.1111, ""café de l'europe"": 0.1111, ""la maison de la mer"": 0.1111, ""le calife"": 0.1111, ""la maison arabe"": 0.1111, ""dar el jeld"": 0.5556, ""le jardin de l'oasis"": 0.1111, ""chez sami"": 0.2222, ""café de paris"": 0.1111, ""le trianon"": 0.1111, ""le jardin de sousse"": 0.1111, ""green garden"": 0.1111, ""café de l'union"": 0.1111, ""chez ali"": 0.1111, ""dar essalam"": 0.1111, ""le jardin"": 0.2222, ""café de la paix"": 0.1111}"
"le café de france","3","0.0077","5.0","0.0","0.0","0.0","3","0.0077","unstable","793.7","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""dar sousse"": 0.3333, ""le soleil d’or"": 0.3333, ""café de france"": 0.3333, ""la maison bleue"": 0.3333, ""le jardin de la kasbah"": 0.3333, ""chez ali"": 0.3333, ""la maison des saveurs"": 0.3333, ""le trianon"": 0.3333, ""le jardin des sens"": 0.3333, ""la table du marché"": 0.3333, ""le jardin"": 0.3333, ""la rotonde"": 0.3333}"
"zitouna café","3","0.0077","3.0","0.0","0.0","1.0","2","0.0077","unstable","209.3","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""dar el jeld"": 0.6667, ""la kasbah"": 0.6667, ""la terrasse"": 0.3333, ""la villa bleue"": 0.3333, ""le grand vefour"": 0.3333}"
"la maison de la couscous","5","0.0128","2.2","0.7483","0.2","1.0","3","0.0073","unstable","683.4","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""chez ali"": 0.8, ""dar el jeld"": 0.6, ""le jardin"": 0.4, ""du port"": 0.2, ""le jardin de l'oasis"": 0.2, ""le cap"": 0.2, ""le jardin de l'atlas"": 0.2, ""le jardin des sens"": 0.2, ""el mouradi"": 0.4, ""dar essafra"": 0.2, ""le bosphore"": 0.2, ""le souk"": 0.2}"
"café sidi chabaane","4","0.0102","5.75","0.433","0.0","0.0","4","0.0071","unstable","51.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0597, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""la maison de la méditerranée"": 0.5, ""café des nattes"": 1.0, ""la villa bleue"": 1.0, ""dar el fell"": 1.0, ""dar zarrouk"": 1.0, ""le pirate"": 1.0, ""le grand bleu"": 0.25, ""la maison blanche"": 0.5}"
"la mamma","4","0.0102","2.75","0.433","0.0","1.0","3","0.0071","unstable","161.0","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0448, ""avis_touristes"": 0.0}","{""el ali"": 0.25, ""dar el jeld"": 1.0, ""le grand vefour"": 0.5, ""le sindbad"": 0.25, ""la villa didon"": 0.25, ""restaurant le baron"": 0.25, ""le grand café du théâtre"": 0.25, ""le pirate"": 0.25, ""le restaurant de la medina"": 0.25, ""la kasbah"": 0.25, ""le patio"": 0.25, ""la terrasse"": 0.25}"
"le comptoir","4","0.0102","3.25","0.433","0.0","0.75","3","0.0071","unstable","80.0","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0149, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""café de la medina"": 0.25, ""le patio"": 0.5, ""café des nattes"": 0.25, ""l'atelier"": 0.25, ""le petit prince"": 0.25, ""la maison de la tradition"": 0.25, ""la maison de la mer"": 0.25, ""le pacha"": 0.25, ""le jardin"": 0.25, ""la casa"": 0.25, ""la terrasse"": 0.25, ""le restaurant du port"": 0.25}"
"le zitouna","7","0.0179","3.7143","1.5779","0.1429","0.5714","3","0.0069","unstable","113.6","2","0.6667","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0299, ""avis_touristes"": 0.0164}","{""dar el annabi"": 0.1429, ""dar el jeld"": 0.5714, ""la kasbah"": 0.7143, ""le souk"": 0.1429, ""la mer"": 0.1429, ""la terrasse"": 0.1429, ""la maison blanche"": 0.1429, ""le café des nattes"": 0.2857, ""le bardo"": 0.1429, ""le grand vefour"": 0.1429, ""le jardin de sousse"": 0.1429, ""la rotonde"": 0.1429}"
"la villa didon","7","0.0179","3.4286","1.5908","0.1429","0.4286","4","0.0069","unstable","89.4","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0727, ""comparatif"": 0.0149, ""avis_touristes"": 0.0328}","{""dar el jeld"": 0.7143, ""le grand vefour"": 0.4286, ""le pirate"": 0.1429, ""le grand café de tunis"": 0.2857, ""la mammounia"": 0.1429, ""al fassia"": 0.1429, ""le bistro du coin"": 0.1429, ""le sindbad"": 0.1429, ""la mamma"": 0.1429, ""le café de paris"": 0.1429, ""le rest'o"": 0.1429, ""le grand café du théâtre"": 0.1429, ""café m'rabet"": 0.1429}"
"dar el-andalous","9","0.023","2.4444","2.4994","0.5556","0.7778","5","0.0066","unstable","656.8","1","0.3333","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.0164}","{""le jardin"": 0.2222, ""la fontaine"": 0.1111, ""chez ali"": 0.4444, ""el mouradi"": 0.2222, ""le jardin de carthage"": 0.3333, ""la perle"": 0.1111, ""dar jellouli"": 0.1111, ""café de france"": 0.2222, ""le jardin de sousse"": 0.1111, ""le jardin de l'orangerie"": 0.1111, ""la maison des saveurs"": 0.1111, ""le chantier"": 0.1111, ""café des négociants"": 0.1111}"
"le petit châtelet","7","0.0179","4.0","1.7728","0.1429","0.4286","4","0.0065","unstable","99.7","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0597, ""avis_touristes"": 0.0164}","{""el farah"": 0.1429, ""la kasbah"": 0.4286, ""dar el jeld"": 0.7143, ""la maison blanche"": 0.2857, ""chez hedi"": 0.1429, ""le bistrot de la médina"": 0.1429, ""la medina"": 0.1429, ""le restaurant de la plage"": 0.1429, ""le relais"": 0.1429, ""la maison de la mer"": 0.1429, ""la maison arabe"": 0.1429, ""le calypso"": 0.2857, ""la médina"": 0.1429, ""la casa"": 0.1429, ""la grotte"": 0.1429, ""le corsaire"": 0.1429, ""el farouk"": 0.1429, ""le golfe"": 0.1429}"
"la fontaine","6","0.0153","2.3333","1.3744","0.3333","0.8333","4","0.0064","unstable","653.2","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0299, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0, ""avis_touristes"": 0.0164}","{""le jardin"": 0.6667, ""dar el-andalous"": 0.1667, ""dar el jeld"": 0.1667, ""el mouradi"": 0.1667, ""chez mokhtar"": 0.1667, ""café de la poste"": 0.1667, ""dar sousse"": 0.1667, ""la table de la marsa"": 0.1667, ""le jardin de carthage"": 0.1667, ""la maison des saveurs"": 0.1667}"
"la tonnelle","6","0.0153","2.6667","1.3744","0.3333","0.8333","4","0.0064","unstable","877.5","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0149, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""dar el jeld"": 0.3333, ""el mouradi"": 0.5, ""le brik"": 0.1667, ""le jardin de carthage"": 0.3333, ""dar zaytouna"": 0.1667, ""café de paris"": 0.3333, ""dar djerbi"": 0.1667, ""chez lamine"": 0.1667, ""le jardin de la medina"": 0.3333, ""le bistrot du port"": 0.1667, ""le jardin de l'orangerie"": 0.1667, ""zitouna"": 0.1667, ""dar ezzahra"": 0.1667}"
"le jardin des sens","9","0.023","5.8889","2.601","0.0","0.3333","5","0.0064","unstable","658.9","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0448, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0492}","{""chez ali"": 0.3333, ""la maison de la couscous"": 0.1111, ""el mouradi"": 0.2222, ""dar essafra"": 0.1111, ""la table de la marsa"": 0.1111, ""la perle"": 0.2222, ""le bistrot de la mer"": 0.2222, ""la table du marché"": 0.2222, ""dar el jeld"": 0.3333, ""la maison de la mer"": 0.1111, ""chez sami"": 0.1111, ""le café de paris"": 0.1111, ""le clos des sables"": 0.1111, ""al fassia"": 0.1111, ""la terrasse"": 0.1111, ""la maison des epices"": 0.1111, ""le trianon"": 0.2222, ""el mouradi sousse"": 0.1111, ""café de paris"": 0.1111, ""le jardin"": 0.2222, ""la rotonde"": 0.1111, ""le café de france"": 0.1111, ""la baie"": 0.1111, ""le clos des oliviers"": 0.1111, ""le chantier"": 0.1111, ""café des négociants"": 0.1111, ""la maison des saveurs"": 0.1111, ""le bistrot du port"": 0.1111}"
"le bosphore","5","0.0128","3.0","1.0954","0.0","0.8","3","0.0061","unstable","357.4","2","0.6667","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""dar aziza"": 0.2, ""le carthage"": 0.2, ""la maison des saveurs"": 0.2, ""chez ali"": 0.4, ""le café de la gare"": 0.2, ""dar el jem"": 0.2, ""le corsaire"": 0.2, ""le petit château"": 0.2, ""le restaurant de la médina"": 0.2, ""le pirate"": 0.2, ""la maison de la couscous"": 0.2, ""dar el jeld"": 0.2, ""el mouradi"": 0.4, ""le souk"": 0.2, ""la kasbah"": 0.2, ""la maison arabe"": 0.2, ""dar el fell"": 0.2}"
"le restaurant de la kasbah","4","0.0102","4.0","0.7071","0.0","0.25","4","0.006","unstable","106.2","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""la maison arabe"": 0.25, ""dar el jeld"": 0.5, ""le pacha"": 0.25, ""le grand vefour"": 0.75, ""el ali"": 0.25, ""le couscous de la medina"": 0.25, ""le bistrot de la médina"": 0.25, ""le restaurant de la medina"": 0.25, ""la villa bleue"": 0.25, ""la maison blanche"": 0.25, ""le restaurant du port"": 0.25}"
"chez sami","5","0.0128","3.0","1.2247","0.0","0.6","3","0.0058","unstable","594.6","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""le jardin de l'oasis"": 0.2, ""restaurant el mouradi"": 0.4, ""le jardin"": 0.4, ""café des épices"": 0.2, ""le jardin des sens"": 0.2, ""le bistrot de la mer"": 0.2, ""la table du marché"": 0.2, ""dar el jeld"": 0.2, ""la maison de la mer"": 0.2, ""la perle"": 0.2, ""le jardin de sousse"": 0.2, ""al bahja"": 0.2, ""chez ali"": 0.2, ""dar essalam"": 0.2}"
"chez mokhtar","4","0.0102","3.75","0.8292","0.0","0.5","2","0.0056","unstable","832.8","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0299, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""café des arts"": 0.25, ""le jardin de sidi bou said"": 0.25, ""café de la poste"": 0.25, ""la fontaine"": 0.25, ""dar sousse"": 0.25, ""dar jdid"": 0.25, ""el mouradi"": 0.25, ""le jardin de carthage"": 0.25, ""la terrasse"": 0.25, ""le jardin de la medina"": 0.25, ""sidi mahrez"": 0.25, ""la table du marché"": 0.25}"
"dar slah","4","0.0102","5.5","0.866","0.0","0.0","4","0.0055","unstable","89.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0448, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0164}","{""la kasbah"": 0.25, ""le café de la médina"": 0.25, ""dar el jeld"": 1.0, ""le souk"": 0.25, ""le pacha"": 0.25, ""le grand vefour"": 0.75, ""dar zarrouk"": 0.5, ""la maison blanche"": 0.25, ""el ali"": 0.25, ""la maison de la medina"": 0.5, ""le café de la kasbah"": 0.25, ""le bardo"": 0.25, ""le cafe des nattes"": 0.25, ""le rest'o"": 0.25, ""café m'rabet"": 0.25}"
"dar el jaziri","5","0.0128","2.4","1.3565","0.4","0.6","4","0.0054","unstable","106.2","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""la medina"": 0.2, ""la kasbah"": 0.2, ""el fell"": 0.2, ""le port"": 0.2, ""le café de la plage"": 0.2, ""el mouradi"": 0.2, ""le café de la médina"": 0.2, ""la maison de la médina"": 0.2, ""le café des nattes"": 0.2, ""le calife"": 0.2, ""diwan"": 0.2, ""le pirate"": 0.4, ""le calypso"": 0.2, ""la maison de la medina"": 0.2, ""le petit château"": 0.2}"
"le jardin de l'atlas","3","0.0077","1.3333","0.4714","0.6667","1.0","2","0.0052","unstable","1159.0","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""chez ali"": 0.3333, ""dar el jeld"": 0.3333, ""le jardin"": 0.3333, ""la maison de la couscous"": 0.3333, ""dar kalthoum"": 0.3333, ""le clos de sousse"": 0.3333, ""le jardin des oliviers"": 0.3333, ""la maison de la photographie"": 0.3333, ""le soummam"": 0.3333, ""la perle"": 0.3333}"
"dar zarrouk","8","0.0205","3.125","2.9765","0.625","0.625","5","0.0052","unstable","63.2","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0141, ""localisation"": 0.1045, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""dar el jeld"": 0.375, ""la kasbah"": 0.125, ""le café de la médina"": 0.125, ""dar slah"": 0.25, ""le souk"": 0.125, ""le pacha"": 0.125, ""le grand vefour"": 0.125, ""la maison blanche"": 0.375, ""le cafe des nattes"": 0.125, ""la maison de la medina"": 0.125, ""café des nattes"": 0.625, ""la villa bleue"": 0.625, ""le petit château"": 0.125, ""dar el fell"": 0.625, ""le golfe"": 0.125, ""le pirate"": 0.625, ""la maison de la méditerranée"": 0.25, ""café sidi chabaane"": 0.5, ""le grand bleu"": 0.125}"
"le jardin de djerba","3","0.0077","3.6667","0.4714","0.0","0.3333","3","0.0052","unstable","622.0","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0492}","{""la zalabia"": 0.3333, ""la ghriba"": 0.3333, ""le bistrot de la mer"": 0.3333, ""el hana"": 0.3333, ""el bahri"": 0.3333, ""chez ali"": 0.3333}"
"le restaurant de l'hôtel hasdrubal","3","0.0077","3.3333","0.4714","0.0","0.6667","3","0.0052","unstable","98.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""le grand bleu"": 0.6667, ""la maison arabe"": 1.0, ""le bistrot"": 0.3333, ""la table de la méditerranée"": 0.3333}"
"la maison de la tradition","3","0.0077","3.6667","0.4714","0.0","0.3333","3","0.0052","unstable","426.7","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""le dinar"": 0.3333, ""le carthage"": 0.3333, ""el mouradi"": 0.3333, ""le pacha"": 0.6667, ""dar el jeld"": 0.3333, ""la maison de la mer"": 0.3333, ""le comptoir"": 0.3333, ""le jardin"": 0.3333}"
"la maison de la harissa","3","0.0077","2.6667","0.4714","0.0","1.0","3","0.0052","unstable","47.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0423, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""la brikerie"": 0.3333, ""le restaurant el ali"": 0.6667, ""le grand café du théâtre"": 0.6667, ""le café des nattes"": 1.0, ""le grand café de tunis"": 0.3333, ""le café de la gare"": 0.3333}"
"brik el khadra","3","0.0077","1.6667","0.4714","0.3333","1.0","3","0.0052","unstable","1259.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0423, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""chez ali"": 0.3333, ""dar essaffar"": 0.3333, ""café de france"": 0.3333, ""la maison du brik"": 0.3333, ""le jardin"": 0.3333, ""café de paris"": 0.3333}"
"el mansour","5","0.0128","2.8","1.4697","0.2","0.6","4","0.0052","unstable","52.2","1","0.3333","{""top_recommendation"": 0.0571, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""la medina"": 1.0, ""la maison arabe"": 0.4, ""dar el jeld"": 0.6, ""le pirate"": 0.4, ""le petit chateau"": 0.2, ""la kasbah"": 0.6, ""la belle epoque"": 0.2, ""le corsaire"": 0.2, ""le poisson d'or"": 0.2, ""el hana"": 0.2, ""le corail"": 0.2}"
"le grand restaurant","2","0.0051","1.0","0.0","1.0","1.0","2","0.0051","unstable","60.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""le restaurant de la medina"": 0.5, ""dar el jem"": 0.5, ""la maison arabe"": 1.0, ""dar el medina"": 0.5, ""le relais"": 1.0, ""le café des nattes"": 0.5, ""dar el jeld"": 0.5, ""le pirate"": 0.5}"
"restaurant le baron","2","0.0051","4.0","0.0","0.0","0.0","2","0.0051","unstable","55.5","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""la mamma"": 0.5, ""dar el jeld"": 1.0, ""le grand café du théâtre"": 0.5, ""le pirate"": 0.5, ""le grand hotel sousse"": 0.5}"
"la maison des arts","2","0.0051","7.0","0.0","0.0","0.0","2","0.0051","unstable","76.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0299, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""la villa bleue"": 0.5, ""la villa des orangers"": 0.5, ""la maison bleue"": 0.5, ""le café de la place"": 0.5}"
"le port","2","0.0051","3.0","0.0","0.0","1.0","2","0.0051","unstable","458.0","2","0.6667","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""la medina"": 0.5, ""la kasbah"": 0.5, ""el fell"": 0.5, ""le café de la plage"": 0.5, ""el mouradi"": 1.0, ""dar el jaziri"": 0.5, ""dar el jeld"": 0.5}"
"sousse restaurant","2","0.0051","5.0","0.0","0.0","0.0","2","0.0051","unstable","521.5","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""chez ali"": 1.0, ""dar el jeld"": 0.5, ""dar kalthoum"": 0.5, ""el mouradi"": 0.5, ""le jardin de carthage"": 0.5}"
"sidi mahrez","2","0.0051","3.0","0.0","0.0","0.5","2","0.0051","unstable","367.5","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0164}","{""dar jdid"": 0.5, ""chez ali"": 0.5, ""chez mokhtar"": 0.5, ""le jardin de la medina"": 0.5, ""la table du marché"": 0.5}"
